Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta)
7.9413,GROUND,-1.8750,0.0392,9.6890,-0.2746,-0.0100,9.2300,0.2000,0.0200,-0.5700,0.0400,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0782,-1.3348,-1.4488,-0.2500
7.9766,GROUND,0.2500,0.0000,9.6890,-0.3530,-0.0600,9.2600,0.1200,-0.0200,-0.5400,-0.0300,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0802,-0.2705,-0.3941,-0.2500
8.0128,GROUND,-0.4375,0.0392,9.6890,-0.2746,-0.0100,9.2300,0.1600,0.0300,-0.5500,0.0200,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0812,-0.2940,-0.4251,-0.2500
8.0488,GROUND,0.7500,0.0000,9.6890,-0.3138,-0.0600,9.2400,0.1500,-0.0100,-0.5600,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0815,0.4278,0.3129,-0.2500
8.0846,GROUND,-0.4375,0.0000,9.6890,-0.3530,-0.0600,9.2400,0.1500,-0.0100,-0.5600,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0818,-0.0266,-0.1549,-0.2500
8.1185,GROUND,-0.5625,0.0392,9.6890,-0.2746,-0.0200,9.2600,0.1800,0.0100,-0.5400,0.0200,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0819,-0.2747,-0.4125,-0.2500
8.1543,GROUND,-1.4375,0.0392,9.7282,-0.3138,-0.0700,9.2300,0.1600,-0.0100,-0.5400,-0.0200,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0578,-0.8976,-1.0633,-0.2500
8.1904,GROUND,-0.2500,0.0392,9.7282,-0.3138,-0.0400,9.2300,0.1800,0.0000,-0.5700,0.0200,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0483,-0.3925,-0.5617,-0.2500
8.2252,GROUND,0.5000,0.0000,9.6890,-0.3138,-0.0200,9.2300,0.1500,0.0100,-0.5700,0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0689,0.2616,0.1033,-0.2500
8.2611,GROUND,-0.3125,0.0000,9.6890,-0.3530,-0.0500,9.2300,0.1500,0.0000,-0.5700,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0770,-0.0010,-0.1558,-0.2500
